epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.955,0.52412,3.59529,0.88396,0.23705,0.61528,0.28975,0.26702,0.40163,2.86979,0.80949,0.000276818,0.000276818,0.000276818
2,291.435,0.51918,2.80164,0.88655,0.26967,0.76826,0.42052,0.38307,0.40712,2.66696,0.82782,0.000543505,0.000543505,0.000543505
3,419.557,0.52734,2.62206,0.89771,0.29568,0.65855,0.4623,0.43374,0.37594,2.40775,0.81779,0.000799198,0.000799198,0.000799198
4,546.863,0.49312,2.41942,0.87787,0.33501,0.73978,0.47716,0.4412,0.39561,2.55431,0.82286,0.00078352,0.00078352,0.00078352
5,680.284,0.48474,2.30428,0.88019,0.45057,0.67746,0.60224,0.55666,0.39089,2.38608,0.82588,0.000767026,0.000767026,0.000767026
6,848.742,0.46176,2.06233,0.8638,0.47989,0.719,0.59204,0.54469,0.38756,2.13305,0.82125,0.000750533,0.000750533,0.000750533
7,986.623,0.47293,1.93239,0.87698,0.51022,0.71224,0.65104,0.60908,0.36079,2.27762,0.82245,0.00073404,0.00073404,0.00073404
8,1123.65,0.46098,1.806,0.88376,0.68346,0.75233,0.8151,0.76697,0.35682,1.43422,0.81582,0.000717546,0.000717546,0.000717546
9,1258.26,0.44891,1.54868,0.87437,0.64655,0.88881,0.83251,0.77852,0.36494,1.51012,0.81415,0.000701053,0.000701053,0.000701053
10,1384.56,0.43921,1.37388,0.86532,0.7763,0.87313,0.88275,0.82678,0.36423,1.98135,0.81523,0.000684559,0.000684559,0.000684559
11,1511.41,0.43807,1.27304,0.86317,0.88021,0.91928,0.94586,0.88478,0.36393,1.00497,0.8223,0.000668066,0.000668066,0.000668066
12,1643.73,0.42912,1.16085,0.85854,0.90976,0.95636,0.97484,0.91683,0.34822,0.90084,0.81606,0.000651573,0.000651573,0.000651573
